News	Meta	Intro	Article	Downloads	PDFs	text_file_names
Mensenhandel. Naar een kindgericht beschermingssysteem voor alleenstaande minderjarige vreemdelingen	Nieuwsbericht | 30-6-2015 | 08:00	"[""Er moet een specifieke verblijfsregeling komen voor alleenstaande minderjarige slachtoffers van mensenhandel, waarin het belang van het kind centraal staat. Dat adviseert de Nationaal Rapporteur Mensenhandel en Seksueel Geweld tegen Kinderen op basis van onderzoek naar de bescherming van deze groep slachtoffers. De verblijfsregeling is onderdeel van een bredere aanbeveling tot een beschermingssysteem voor minderjarige slachtoffers van mensenhandel, waarin naast de bescherming van slachtoffers aandacht is voor de opsporing en vervolging van mensenhandelaren. De Nationaal Rapporteur doet deze aanbeveling in het rapport 'Mensenhandel. Naar een kindgericht beschermingssysteem voor alleenstaande minderjarige vreemdelingen'.""]"	['Alleenstaande minderjarige slachtoffers van mensenhandel in Nederland\nIeder jaar worden ongeveer 85 alleenstaande minderjarigen opgevangen van wie vermoed wordt dat zij slachtoffer zijn van mensenhandel. Deze jongeren zijn kwetsbaar. Kwetsbaar omdat zij alleen zijn in een land waarvan ze de taal en cultuur niet kennen, maar ook omdat ze het risico lopen opnieuw uitgebuit te worden. Sinds 2008 worden zij in een specifiek daartoe ingerichte beschermde opvang geplaatst. Die opvang werd opgericht naar aanleiding van het verdwijnen van meer dan honderd Nigeriaanse meisjes uit asielzoekerscentra. Uit het opsporingsonderzoek Koolvis bleek dat deze meisjes naar Nederland waren gehaald om hier of in het buitenland te worden uitgebuit in de prostitutie. In de beschermde opvang werken hulpverleningsinstellingen, voogden en mensenhandelrechercheurs samen onder één dak. Uit het rapport van de Nationaal Rapporteur blijkt dat volle potentie van de beschermde opvang nog niet wordt benut: de jongere staat nog onvoldoende centraal. Daardoor blijft bovendien de opsporing en vervolging van mensenhandelaren uit. “Dat is zorgelijk en onwenselijk”, aldus de Nationaal Rapporteur. “Want we weten dat internationale mensenhandelnetwerken ook in Nederland actief zijn.”', 'Slachtoffer én opsporing baat bij aanpassing procedure\nDoor de asielprocedure en verblijfsregeling mensenhandel te vervlechten, wordt zowel de bescherming van slachtoffers als de opsporing van mensenhandelaren verbeterd. Binnen de samengevoegde procedure staat het slachtoffer centraal: in een kindvriendelijke omgeving wordt het hele verhaal van de minderjarige opgenomen. Het is vervolgens aan de IND en de politie om de informatie uit het verhaal te filteren die relevant is voor de verblijfstoets en de opsporing van de mensenhandelaren. In deze aanbevolen verblijfsprocedure ervaart de jongere geen keuzestress meer en wordt langdurige onzekerheid voorkomen doordat de termijnen zijn afgestemd op de minderjarige leeftijd en stapeling van de twee verblijfsprocedures niet mogelijk is. Dit leidt ertoe dat jongeren op zorgvuldige en snelle wijze duidelijkheid krijgen over hun toekomst en dat de kans dat de mensenhandelaren worden opgespoord toeneemt.', 'Lees het volledige nieuwsbericht hier:']	"[""Nationaal Rapporteur. Mensenhandel. Naar een kindgericht beschermingssysteem voor AMV's\nPdf document | 3880 kB\nWebpagina | 30-6-2015""]"	['nationaal-rapporteur.mensenhandel.naar-een-kindgericht-beschermingssysteem-voor-amvs.2015_tcm23-34708.pdf']	['nationaal-rapporteur.mensenhandel.naar-een-kindgericht-beschermingssysteem-voor-amvs.2015_tcm23-34708.txt']
Mensenhandel in en uit beeld: cijfers 2010-2014	Nieuwsbericht | 16-6-2015 | 09:00	['Meer mogelijke slachtoffers van mensenhandel kwamen in 2014 in beeld. De grootste groep mogelijke slachtoffers is uitgebuit in de seksindustrie, maar het aandeel slachtoffers van uitbuiting buiten de seksindustrie nam toe. In 2014 deden minder buitenlandse slachtoffers een beroep op de verblijfsregeling mensenhandel. Het aantal schadevergoedingen aan slachtoffers nam juist weer toe. Meer mensenhandelaren zijn veroordeeld, maar de gemiddelde duur van de opgelegde straffen nam af. Dat blijkt uit onderzoek van de Nationaal Rapporteur Mensenhandel en Seksueel Geweld tegen Kinderen op basis van cijfers over de periode 2010-2014. De vier publicaties bevatten cijfers over mogelijke slachtoffers, vreemdelingrechtelijke bescherming, schadevergoedingen, en vervolging en berechting.']	['Meer mogelijke slachtoffers mensenhandel geregistreerd\nMogelijke slachtoffers van mensenhandel worden geregistreerd door CoMensha. In 2014 registreerde de organisatie 1.561 mogelijke slachtoffers. In 2013 waren dat er 1.437. “De stijging in het aantal geregistreerde mogelijke slachtoffers zegt niets over de totale omvang van mensenhandel in Nederland”, aldus de Nationaal Rapporteur Corinne Dettmeijer-Vermeulen. “Het is bijvoorbeeld mogelijk dat mensenhandel door instanties beter is herkend en geregistreerd.” Net zoals in voorgaande jaren gaat het meestal om vrouwen (84%). Nog steeds is bijna één vijfde van de mogelijke slachtoffers minderjarig. De grootste groep mogelijke slachtoffers heeft de Nederlandse nationaliteit (30%), gevolgd door de Roemeense (14%), Bulgaarse (10%), Poolse (6%) en Hongaarse (6%) nationaliteit. Er worden steeds minder mogelijke slachtoffers uit (West)-Afrika aangemeld. De vraag blijft of daadwerkelijk sprake is van minder (West-)Afrikaanse slachtoffers in Nederland of dat zij zich meer dan voorheen aan het zicht onttrekken of dat minder aandacht bestaat voor de signalering dan wel melding van deze slachtoffers.', 'Uitbuiting buiten seksindustrie meer in beeld\n“Continue aandacht voor uitbuiting buiten de seksindustrie blijft nodig”, zo benadrukt de Nationaal Rapporteur. Hoewel in 2014 nog steeds de grootste groep mogelijke slachtoffers van mensenhandel is uitgebuit in de seksindustrie (66%), zijn in 2014 meer gevallen van uitbuiting buiten de seksindustrie gemeld dan in 2013. Deze uitbuiting vond met name plaats in de horeca, huishouding, scheep- en binnenvaart en in de land- en tuinbouw.', 'Minder vaak beroep op verblijfsregeling mensenhandel\nSlachtoffers hebben bij de geringste aanwijzing van mensenhandel het recht om gebruik te maken van maximaal drie maanden bedenktijd, waarin zij tot rust kunnen komen en kunnen nadenken over het meewerken aan de opsporing dan wel vervolging. Als een slachtoffer na de bedenktijd besluit mee te werken aan de opsporing dan wel vervolging dan geldt deze medewerking als een aanvraag voor het tijdelijk verblijfsrecht mensenhandel. Het aantal keer dat slachtoffers gebruik maakten van de bedenktijd is gedaald van 223 keer in 2013 naar 174 keer in 2014. Ook het aantal aanvragen is iets gedaald: van 268 in 2013 naar 251 in 2014. Niet altijd volgt na de bedenktijd een aanvraag voor het tijdelijk verblijfsrecht. Dit was met name het geval voor Midden- en Oost-Europese en voor minderjarige slachtoffers. Aanvragen voor het tijdelijk verblijfsrecht worden doorgaans ingewilligd.', 'Slachtoffers mensenhandel krijgen vaker schadevergoeding\nSlachtoffers van mensenhandel hebben recht op schadevergoeding. De rechter legde in 2014 aan meer daders vaker een schadevergoedingsmaatregel op, namelijk 45 keer. Driekwart van die schadevergoedingsmaatregelen werd in het kader van de voorschotregeling aan het slachtoffer uitgekeerd, omdat de dader binnen acht maanden niet of niet volledig aan zijn betalingsverplichting had voldaan. Buiten het strafrecht of civiel recht kunnen slachtoffers een aanvraag voor een financiële tegemoetkoming indienen bij het Schadefonds Geweldsmisdrijven. In 2013 en 2014 besloot het Schadefonds over in totaal 119 aanvragen van slachtoffers mensenhandel. Driekwart van deze aanvragen was toegekend, een substantiële stijging die mogelijk een gevolg is van de aanpassing van het beleid in 2012. Sindsdien wordt mensenhandel als een opzettelijk gepleegd geweldsmisdrijf beschouwd, op grond waarvan slachtoffers in aanmerking komen voor een financiële tegemoetkoming.', 'Meer mensenhandelaren veroordeeld, gemiddelde strafduur gedaald\nIn de periode 2010 tot 2014 kwamen jaarlijks gemiddeld 150 verdachten van mensenhandel voor de rechter. In 2014 kwam de rechter in 76 procent van de gevallen tot een veroordeling voor mensenhandel. In 2010 was dit percentage nog maar 61 procent. Wanneer de rechter veroordeelt, wordt over het algemeen (89%) een onvoorwaardelijke of deels voorwaardelijke vrijheidsstraf opgelegd. Sinds 2010 nam de gemiddelde opgelegde duur ieder jaar toe: van 617 dagen in 2010 naar 804 dagen in 2013. In 2014 nam de gemiddelde duur van opgelegde onvoorwaardelijke vrijheidsstraffen af tot 665 dagen. De Nationaal Rapporteur zal volgen of deze ontwikkeling zich voortzet, en indien nodig onderzoeken wat hiervan de oorzaak is.', '']	['Infographic mogelijke slachtoffers 2010-2014\nPdf document | 28 kB\nRapport | 16-6-2015', 'Infographic veroordelingen en straffen mensenhandel 2010-2014\nPdf document | 21 kB\nRapport | 16-6-2015', 'Mensenhandel in en uit beeld: cijfers mogelijke slachtoffers 2010-2014\nPdf document | 531 kB\nRapport | 9-7-2015', 'Mensenhandel in en uit beeld: vreemdelingrechtelijke bescherming 2010-2014\nPdf document | 575 kB\nRapport | 16-6-2015', 'Mensenhandel in en uit beeld: schadevergoedingen 2010-2014\nPdf document | 455 kB\nRapport | 16-6-2015', 'Mensenhandel in en uit beeld: vervolging en berechting 2010-2014\nPdf document | 350 kB\nRapport | 16-6-2015']	['infographic-mogelijke-slachtoffers-2010-2014_tcm23-34712.pdf', 'infographic-veroordelingen-straffen-mensenhandel-2010-2014_tcm23-34713.pdf', 'mensenhandel-in-en-uit-beeld-slachtoffercijfers-2010-2014-interactief_tcm23-34714.pdf', 'nationaal-rapporteur-vreemdelingrechtelijke-bescherming-2010-2014_tcm23-34715.pdf', 'nationaal-rapporteur-schadevergoedingen-2010-2014_tcm23-34716.pdf', 'nationaal-rapporteur-vervolging-en-berechting-2010-2014_tcm23-34717.pdf']	['infographic-mogelijke-slachtoffers-2010-2014_tcm23-34712.txt', 'infographic-veroordelingen-straffen-mensenhandel-2010-2014_tcm23-34713.txt', 'mensenhandel-in-en-uit-beeld-slachtoffercijfers-2010-2014-interactief_tcm23-34714.txt', 'nationaal-rapporteur-vreemdelingrechtelijke-bescherming-2010-2014_tcm23-34715.txt', 'nationaal-rapporteur-schadevergoedingen-2010-2014_tcm23-34716.txt', 'nationaal-rapporteur-vervolging-en-berechting-2010-2014_tcm23-34717.txt']
Extremely wanted: human trafficking statistics—what to do with the hodgepodge of numbers?	Nieuwsbericht | 1-6-2015 | 15:03	['Betrouwbare statistieken over mensenhandel zijn van groot belang voor de bestrijding ervan. Ook om vergelijkingen tussen de cijfers te kunnen maken die niet mank gaan.']	['In een artikel dat werd gepubliceerd in Forum on Crime and Society van de United Nations beschrijven Nationaal Rapporteur Corinne Dettmeijer en onderzoeker Ieke de Vries waarom het zo complex is om tot betrouwbare cijfers over mensenhandel te komen. Ook stellen de auteurs een nieuw perspectief op het gebruik van statistieken voor.']	['C.E. Dettmeijer, I. de Vries (2015) Extremely wanted: human trafficking statistics—what to do with the hodgepodge of numbers? (p. 15-36)\nPdf document | 2704 kB\nPublicatie | 1-6-2015']	['estimating-the-size-of-hard-to-reach-populations-using-capture-recapture-methodology-forum-on-crime_tcm23-34815.pdf']	['estimating-the-size-of-hard-to-reach-populations-using-capture-recapture-methodology-forum-on-crime_tcm23-34815.txt']
Misbruikt, en dan? Behandeling in de jeugd-geestelijke gezondheidszorg	Nieuwsbericht | 8-4-2015 | 15:26	['Jaarlijks worden naar schatting veel kinderen slachtoffer van een vorm van seksueel geweld. Een gedeelte van deze slachtoffers krijgt hiervoor behandeling. Tussen 2008 en 2012 zijn (minstens) 688 misbruikte kinderen in de jeugd-geestelijke gezondheidszorg behandeld om klachten en (verschijnselen van) stoornissen te verminderen.']	['In het artikel ‘Misbruikt, en dan? Behandeling in de jeugd-geestelijke gezondheidszorg’ zoomt een onderzoeker werkzaam voor de Nationaal Rapporteur in op de kenmerken van deze slachtoffers (zoals leeftijd, geslacht en gediagnosticeerde stoornissen) en kenmerken van de behandeling (zoals de vorm en duur) die zij krijgen. Daarnaast wordt ingegaan op een aantal beperkingen over zowel de registratie van slachtoffers als de kenmerken van hun behandeling.']	['E. van der Staal. Misbruikt, en dan? Behandeling in de jeugd-geestelijke gezondheidszorg. Tijdschrift voor Orthopedagogiek 54 (2015), pp. 139-145\nPdf document | 1134 kB\nPublicatie | 8-4-2015', 'Literatuurlijst artikel Van der Staal, Tijdschrift voor Orthopedagogiek 54 (2015), pp. 139-145\nPdf document | 159 kB\nPublicatie | 8-4-2015']	['20150408-van-der-staal-misbruikt-en-dan-behandeling-in-de-jeugd-geestelijke-gezondheidszorg_tcm23-34812.pdf', '20150408-literatuurlijst-artikel-van-der-staal_tcm23-34813.pdf']	['20150408-van-der-staal-misbruikt-en-dan-behandeling-in-de-jeugd-geestelijke-gezondheidszorg_tcm23-34812.txt', '20150408-literatuurlijst-artikel-van-der-staal_tcm23-34813.txt']
Conferentie Interaction Between Legal Systems Conference 'Room for reflection'	Nieuwsbericht | 19-2-2015 | 13:43	"[""Tijdens het congres 'Interaction between Legal Systems', georganiseerd door medewerkers van het gelijknamige onderzoeksprogramma van de Universiteit Leiden, sprak Corinne Dettmeijer over de urgentie van de wisselwerking tussen rechtsgebieden. Die wisselwerking is niet alleen vanuit theoretisch perspectief van belang, zo vindt ze, maar is noodzakelijk voor het bieden van goede bescherming aan slachtoffers. In haar speech neemt Dettmeijer de zaak van de Indiase S. tot uitgangspunt.""]"	['']	"['Toespraak Conferentie Interaction Between Legal Systems Conference ""Room for reflection""\nPdf document | 180 kB\nToespraak | 19-2-2015']"	['speech-corinne-dettmeijer-interaction-between-legal-systems-the-story-of-s.february-2015_tcm63-582553_tcm23-21409.pdf']	['speech-corinne-dettmeijer-interaction-between-legal-systems-the-story-of-s.february-2015_tcm63-582553_tcm23-21409.txt']
Het slachtoffer van seksueel geweld verklaar(d)(t)	Nieuwsbericht | 27-1-2015 | 16:10	['In haar rapport Op Goede Grond constateert de Nationaal Rapporteur dat de drempel tot het doen van aangifte van seksueel geweld tegen kinderen hoog is. Een van de factoren die hierbij een rol lijkt te spelen is het feit dat politie en Openbaar Ministerie relatief veel nadruk leggen op onjuiste aangiftes.']	['In het artikel ‘Het slachtoffer van seksueel geweld verklaar(d)(t)’ diepen onderzoekers werkzaam bij de Nationaal Rapporteur dit punt verder uit. In dit artikel worden kenmerken van aangiften door tienermeisjes die volgens rechercheurs duiden op een onjuiste verklaring, geëvalueerd. De auteurs concluderen dat de meeste hiervan in werkelijkheid geen indicatie hoeven te vormen van onjuistheid van de verklaring. Dit betekent dat de verklaring moet worden onderzocht voor conclusies kunnen worden getrokken over de waarheidsgetrouwheid ervan.']	"[""A. K. Bosma LL.M. MSc, L. van Krimpen LL.M. en dr. L.M.E. Menenti, 'Het slachtoffer van seksueel geweld verklaar(d)(t)', DD 2015, 2\nPdf document | 142 kB\nPublicatie | 27-1-2015""]"	['20150127-bosma-et-al.het-slachtoffer-van-seksueel-geweld-verklaar(d)(t)_tcm23-34811.pdf']	['20150127-bosma-et-al.het-slachtoffer-van-seksueel-geweld-verklaar(d)(t)_tcm23-34811.txt']
Brief Advies initiatiefwetsvoorstel strafbaarstelling misbruik prostitué(e)s die slachtoffer zijn van mensenhandel	Nieuwsbericht | 26-1-2015 | 12:05	['Kamerleden Segers, Rebel en Kooiman hebben de Nationaal Rapporteur om advies gevraagd over het initiatiefwetsvoorstel strafbaarstelling misbruik prostitué(e)s die slachtoffer zijn van mensenhandel (34 091). Zij heeft hiervan met waardering kennis genomen. Daarbij merkt zij op dat er in het voorstel ook oog moet zijn voor minderjarige slachtoffers. Ook merkt zij op dat de voorgestelde maximale strafbedreiging van vier jaar gevangenisstraf verduidelijking behoeft.']	['']	['Brief Nationaal Rapporteur advies initiatiefwetsvoorstel strafbaarstelling misbruik prostitué(e)s die slachtoffer zijn van mensenhandel (34 091), 26 januari 2015\nPdf document | 284 kB\nBrief | 27-1-2015', 'Brief Nationaal Rapporteur advies initiatiefwetsvoorstel strafbaarstelling misbruik prostitué(e)s die slachtoffer zijn van mensenhandel (34 091), 26 januari 2015\nPdf document | 284 kB\nBrief | 27-1-2015']	['brief-nationaal-rapporteur-advies-initiatiefwetsvoorstel-misbruik-prostitue(e)s-die-slachtoffer-zijn-van-mensenhandel-26-januari-2015_tcm23-272684.pdf', 'brief-nationaal-rapporteur-advies-initiatiefwetsvoorstel-misbruik-prostitue(e)s-die-slachtoffer-zijn-van-mensenhandel-26-januari-2015_tcm23-272684.pdf']	['brief-nationaal-rapporteur-advies-initiatiefwetsvoorstel-misbruik-prostitue(e)s-die-slachtoffer-zijn-van-mensenhandel-26-januari-2015_tcm23-272684.txt', 'brief-nationaal-rapporteur-advies-initiatiefwetsvoorstel-misbruik-prostitue(e)s-die-slachtoffer-zijn-van-mensenhandel-26-januari-2015_tcm23-272684.txt']
Jaarplan 2015	Nieuwsbericht | 1-1-2015 | 10:20	['Met het jaarplan van 2015 gaat de Nationaal Rapporteur in op de activiteiten van het afgelopen jaar en blikt zij vooruit op de activiteiten van het komende jaar op het gebied van mensenhandel en seksueel geweld tegen kinderen.']	['']	['Jaarplan 2015\nPdf document | 639 kB\nJaarplan | 1-1-2015']	['Nationaal%20Rapporteur.%20Jaarplan%202015_tcm23-272970.pdf']	['Nationaal%20Rapporteur.%20Jaarplan%202015_tcm23-272970.txt']
Researching and Reporting on Trafficking in Human Beings	Nieuwsbericht | 1-12-2014 | 15:32	['De groeiende aandacht voor het onderwerp mensenhandel betekent een groeiende behoefte aan meer kennis over de aard en omvang ervan. Bij gebrek aan betrouwbare schattingen onderstreept de Nationaal Rapporteur hoe statistieken toch relevant kunnen zijn in de aanpak van mensenhandel, door een andere kijk op gedegen kwantitatief onderzoek.']	['Kwantitatief onderzoek maakt het mogelijk om: 1) beleidsmakers te informeren; 2) knelpunten in bestrijdingsmaatregelen bloot te leggen; en 3) te wijzen naar de gebieden waar aanvullend onderzoek nodig is. De bijdrage van de Nationaal Rapporteur aan deze La Strada Express is gebaseerd op een artikel van De Vries en Dettmeijer dat gepubliceerd wordt in de volgende UN Forum on Crime and Society.\nArticle published in: La Strada Express, issue 6 (2014), pp 45-49.']	[]	[]	[]
Ze wilde het zelf. Toch? Minderjarige slachtoffers van mensenhandel in strafzaken (geactualiseerde versie)	Nieuwsbericht | 27-11-2014 | 16:14	['Kinderen zijn bijzonder kwetsbare slachtoffers die bescherming nodig hebben. Toch schiet de bescherming van minderjarige slachtoffers van mensenhandel in strafzaken nog met enige regelmaat tekort. Een artikel met aandachtspunten voor de vervolging en berechting van mensenhandel gepleegd tegen minderjarigen.']	['Dit geactualiseerde artikel bespreekt het arrest van 20 mei 2014 waarin de Hoge Raad oordeelt dat dwang niet moet worden ingelezen in het mensenhandelartikel als het om minderjarige slachtoffers in de prostitutie gaat. De oorspronkelijke versie van het artikel verscheen in januari 2014 op deze site (zie onder).']	['C.E. Dettmeijer-Vermeulen en M. Boot-Matthijssen, ‘Minderjarige slachtoffers in mensenhandelzaken: Ze wilde het zelf. Toch?’, Tijdschrift Praktijkwijzer Strafrecht, 2014/30\nPdf document | 97 kB\nPublicatie | 27-11-2014']	['artikel-minderjarige-slachtoffers-in-mensenhandelzaken-dettmeijer-vermeu_tcm23-34810.pdf']	['artikel-minderjarige-slachtoffers-in-mensenhandelzaken-dettmeijer-vermeu_tcm23-34810.txt']
Bekendmaking Opzij Top-100 Machtige Vrouwen	Nieuwsbericht | 17-11-2014 | 13:33	['Op 17 november heeft Nationaal Rapporteur Corinne Dettmeijer een toespraak gehouden op de Opzij Top-100 Machtige Vrouwen. Op die avond maakte tijdschrift Opzij de lijst van de meest invloedrijke vrouwen van Nederland bekend. In haar betoog liert zij zien dat seksueel geweld tegen kinderen een probleem van ons allen is, en dat we het als samenleving daarom ook samen aan moeten pakken. Nationaal Rapporteur Corinne Dettmeijer werd verkozen tot nummer 6 in de categorie justitie en openbare orde.']	['']	['Toespraak van de Nationaal Rapporteur Opzij Top 100\nPdf document | 182 kB\nWebpagina | 17-11-2014']	['speech-corinne-dettmeijer-opzij-top-100-mijn-probleem-is-uw-probleem_tcm23-18259.pdf']	['speech-corinne-dettmeijer-opzij-top-100-mijn-probleem-is-uw-probleem_tcm23-18259.txt']
Tentoonstelling Journey	Nieuwsbericht | 20-10-2014 | 11:52	['The Journey is een tentoonstelling over mensenhandel. Via een reeks van zeven gekoppelde zeecontainers worden de ervaringen van vrouwen verbeeld die gedwongen zijn te werken in de seksindustrie. De tentoonstelling was in 2010 te zien in Nederland.']	['']	['Toespraak ter gelegenheid van de opening van de tentoonstelling Journey\nPdf document | 19 kB\nToespraak | 14-10-2010', 'Toespraak ter gelegenheid van het bezoek van Hare Majesteit aan de tentoonstelling Journey\nPdf document | 18 kB\nToespraak | 16-10-2010']	['Opening%20Journey_tcm23-18268.pdf', 'Visit%20to%20Journey%20by%20Her%20Majesty%20The%20Queen%2C%2016%20October_tcm23-18265.pdf']	['Opening%20Journey_tcm23-18268.txt', 'Visit%20to%20Journey%20by%20Her%20Majesty%20The%20Queen%2C%2016%20October_tcm23-18265.txt']
Schadevergoeding voor bezit kinderpornografie: juridische mogelijkheden en praktische obstakels	Nieuwsbericht | 30-9-2014 | 16:34	['Het kijken naar kinderpornografie is geen slachtofferloos delict. Voor slachtoffers kan de wetenschap dat kinderpornografische afbeeldingen van hen voor altijd op internet circuleren grote psychische schade met zich meebrengen. Het is dan ook terecht dat plegers van dit delict 3 aansprakelijk zijn voor de schade die dit bezit veroorzaakt bij de slachtoffers. De aard van het delict zorgt echter voor een aantal juridische en praktische vraagstukken, welke in deze bijdrage besproken zullen worden.']	['']	"[""C.E. Dettmeijer-Vermeulen en L. van Krimpen, 'Schadevergoeding voor bezit van kinderpornografie. Juridische mogelijkheden en praktische obstakels', Tijdschrift Praktijkwijzer Strafrecht, 2014/26\nPdf document | 94 kB\nPublicatie | 30-9-2014""]"	['c.e.dettmeijer-vermeulen-en-l.van-krimpen-schadevergoeding-voor-bezit-van-kinderpornografie_tcm23-34809.pdf']	['c.e.dettmeijer-vermeulen-en-l.van-krimpen-schadevergoeding-voor-bezit-van-kinderpornografie_tcm23-34809.txt']
Mensenhandel in en uit beeld II: Update cijfers vervolging en berechting 2009-2013 (2014)	Nieuwsbericht | 24-9-2014 | 07:00	"[""Update van de cijfers over vervolging en berechting uit het rapport 'Mensenhandel in en uit beeld II'""]"	"[""In mei 2014 verscheen het rapport 'Mensenhandel in en uit beeld II', met daarin cijfers over de periode 2008-2012. Deze publicatie is een update van de cijfers over de vervolging en berechting van mensenhandel, en gaat over de periode 2009-2013.""]"	['Nationaal Rapporteur. Mensenhandel in en uit beeld II. Update cijfers vervolging en berechting 2009-2013\nPdf document | 586 kB\nRapport | 23-9-2014']	['nationaal-rapporteur.mensenhandel-in-en-uit-beeld-ii.update-cijfers-vervolging-en-berechting-2009-2013_tcm23-34720.pdf']	['nationaal-rapporteur.mensenhandel-in-en-uit-beeld-ii.update-cijfers-vervolging-en-berechting-2009-2013_tcm23-34720.txt']
Mensenhandel in en uit beeld II: Update cijfers mogelijke slachtoffers 2009-2013 (2014)	Nieuwsbericht | 24-9-2014 | 07:00	"[""Update van de slachtoffercijfers uit het rapport 'Mensenhandel in en uit beeld II'""]"	"[""In mei 2014 verscheen het rapport 'Mensenhandel in en uit beeld II', met daarin cijfers over de periode 2008-2012. Deze publicatie is een update van de slachtoffercijfers, en gaat over de periode 2009-2013.""]"	['Nationaal Rapporteur. Mensenhandel in en uit beeld II. Update cijfers mogelijke slachtoffers 2009-2013\nPdf document | 937 kB\nRapport | 23-9-2014', 'Nationaal Rapporteur. Infographics mogelijke slachtoffers 2009-2013\nPdf document | 100 kB\nRapport | 24-9-2014']	['nationaal-rapporteur-mensenhandel-in-en-uit-beeld-ii-update-cijfers-mogelijke-slachtoffers-2009-2013_tcm23-34723.pdf', 'nationaal-rapporteur-infographics-mogelijke-slachtoffers-2009-2013_tcm23-34724.pdf']	['nationaal-rapporteur-mensenhandel-in-en-uit-beeld-ii-update-cijfers-mogelijke-slachtoffers-2009-2013_tcm23-34723.txt', 'nationaal-rapporteur-infographics-mogelijke-slachtoffers-2009-2013_tcm23-34724.txt']
Mensenhandel op een tweesprong. De omgang van rechters met art. 273f lid 1 sub 4 Sr	Nieuwsbericht | 20-8-2014 | 16:38	['Artikel over de strafbaarstelling van mensenhandel. In het artikel pleit de rapporteur voor een restrictieve uitleg van artikel 273f lid 1 sub 4 Sr, dat één van de kerngedragingen uit de mensenhandelbepaling omvat.']	['L.B. Esser & C.E. Dettmeijer-Vermeulen, ‘Mensenhandel op een tweesprong. De omgang van rechters met de ruim geformuleerde mensenhandelgedraging in de delictsomschrijving van artikel 273f lid 1 sub 4 Sr’, Delikt en Delinkwent 2014/48 (alleen voor abonnees)']	[]	[]	[]
